,NO,Q1,Q2,Q3
0,33,1:23.322,1:22.800,1:22.109
1,44,1:22.845,1:23.145,1:22.480
2,4,1:23.553,1:23.256,1:22.931
3,11,1:23.350,1:23.135,1:22.947
4,55,1:23.624,1:23.174,1:22.992
5,77,1:23.117,1:23.246,1:23.036
6,16,1:23.467,1:23.202,1:23.122
7,22,1:23.428,1:23.404,1:23.220
8,31,1:23.764,1:23.420,1:23.389
9,3,1:23.829,1:23.448,1:23.409
10,14,1:23.846,1:23.460,0
11,10,1:23.489,1:24.043,0
12,18,1:24.061,1:24.066,0
13,99,1:24.118,1:24.251,0
14,5,1:24.225,1:24.305,0
15,6,1:24.338,0,0
16,63,1:24.423,0,0
17,7,1:24.779,0,0
18,47,1:24.906,0,0
19,9,1:25.685,0,0
