,,POS,NO,DRIVER,CAR,
0,,1,33,Max Verstappen,RED BULL RACING HONDA,
1,,2,11,Sergio Perez,RED BULL RACING HONDA,
2,,3,44,Lewis Hamilton,MERCEDES,
3,,4,4,Lando Norris,MCLAREN MERCEDES,
4,,5,77,Valtteri Bottas,MERCEDES,
5,,6,10,Pierre Gasly,ALPHATAURI HONDA,
6,,7,22,Yuki Tsunoda,ALPHATAURI HONDA,
7,,8,14,Fernando Alonso,ALPINE RENAULT,
8,,9,55,Carlos Sainz,FERRARI,
9,,10,31,Esteban Ocon,ALPINE RENAULT,
10,,11,5,Sebastian Vettel,ASTON MARTIN MERCEDES,
11,,12,16,Charles Leclerc,FERRARI,
12,,13,18,Lance Stroll,ASTON MARTIN MERCEDES,
13,,14,3,Daniel Ricciardo,MCLAREN MERCEDES,
14,,15,6,Nicholas Latifi,WILLIAMS MERCEDES,
15,,16,99,Antonio Giovinazzi,ALFA ROMEO RACING FERRARI,
16,,17,47,Mick Schumacher,HAAS FERRARI,
17,,18,7,Kimi Räikkönen,ALFA ROMEO RACING FERRARI,
18,,19,63,George Russell,WILLIAMS MERCEDES,
